epoch,lr,train_loss,train_bce,train_rtfm,train_cls,train_bnd,train_smooth,val_auc,val_ap,val_macro_f1,val_weighted_f1
1,0.0001,2.0159880220890045,0.9620850682258606,4.99910306930542,1.085502028465271,0.03467446815920994,0.008392873889533803,0.9163793103448277,0.8127713276321769,0.14109347442680775,0.6213290616960342
2,9.984740801978984e-05,1.5794183015823364,0.6809370163828135,4.990491032600403,0.7927174940705299,0.006646979920333251,0.010792978020617738,0.9245689655172413,0.8419672097552366,0.22632924335378324,0.7242021725671187
3,9.939057285945931e-05,1.2742284499108791,0.5011881925165653,4.952919960021973,0.5466746762394905,0.011228831019252539,0.010422796563943848,0.9474137931034483,0.8759287962234474,0.2356218006624511,0.7422324987775871
4,9.863231105968498e-05,1.1526134125888348,0.40868135914206505,4.897836089134216,0.5008399337530136,0.008705041487701237,0.01116987518616952,0.9530172413793103,0.8881359448818198,0.220040899795501,0.726785613778353
5,9.75772975566101e-05,1.0475907139480114,0.34069864451885223,4.830001354217529,0.4404012858867645,0.008686885266797617,0.010852299310499802,0.9517241379310344,0.8823521275691701,0.22081509276631228,0.7239846004670349
6,9.623203685930868e-05,0.9285415969789028,0.24670748179778457,4.747140049934387,0.4066074462607503,0.008927233284339309,0.011382056691218168,0.9668103448275862,0.9080137626872429,0.24702723436900653,0.7575511238268178
7,9.46048229473242e-05,0.8626700676977634,0.20081067364662886,4.655636548995972,0.38481600023806095,0.009075729351025075,0.011649982363451272,0.9702586206896552,0.9228810453398228,0.24536959319568016,0.753226872094044
8,9.270568813552755e-05,0.8290745168924332,0.18556898878887296,4.56107497215271,0.3669466618448496,0.008946429326897487,0.012407537753460929,0.9737068965517242,0.9283605900427543,0.2547936800122718,0.76758550517823
9,9.054634122155989e-05,0.7703881226480007,0.1458581758197397,4.436017036437988,0.3544917982071638,0.008212931919842958,0.01218446172424592,0.9668103448275862,0.910981960789943,0.37302948623703336,0.7851189258494087
10,8.814009529720152e-05,0.7168872691690922,0.11175967799499631,4.30668842792511,0.34295518696308136,0.006451684384956025,0.01045655642519705,0.9732758620689655,0.9253633708236386,0.38527336860670197,0.790063589146158
11,8.550178566873408e-05,0.6873652711510658,0.10569834324996918,4.17314600944519,0.32400179747492075,0.004949580456013791,0.008665530331199989,0.9706896551724138,0.9178746053008449,0.404717583235826,0.8096113140413522
12,8.264767839234409e-05,0.6219790577888489,0.06930183566873893,4.014185190200806,0.2980260429903865,0.00459361285174964,0.008675926917931065,0.968103448275862,0.9103630511812792,0.3838072051705648,0.8054098207654858
13,7.959536998847741e-05,0.602310623973608,0.05982957227388397,3.878946900367737,0.3041998855769634,0.0049086974177043885,0.010137932113138959,0.9629310344827586,0.9003965266631941,0.394790674035957,0.786438034490657
14,7.636367895343945e-05,0.5837007891386747,0.05897956341505051,3.7319095134735107,0.2999346861615777,0.0031311300772358663,0.006235740540432744,0.9689655172413794,0.9118130764689232,0.29421702656517007,0.7668809762368647
15,7.297252973710755e-05,0.551769781857729,0.0501461885869503,3.591434955596924,0.2822938049212098,0.002628096473927144,0.0054476551376865245,0.9672413793103448,0.908929577011842,0.3671401732995936,0.7887460085306116
16,6.944282990207194e-05,0.5165760014206171,0.02805335575249046,3.4614980220794678,0.2809785809367895,0.003486730051008635,0.008375290544790914,0.9655172413793103,0.9009267628455484,0.4245726495726496,0.8190778640319925
17,6.57963412215599e-05,0.49587022326886654,0.027062803885200992,3.327132225036621,0.26972810504958034,0.0023308882609853754,0.005308620037112632,0.9659482758620689,0.8971112621883097,0.3950907480319245,0.8042999753739095
18,6.205554551086731e-05,0.47854283079504967,0.02166389749618247,3.207825183868408,0.2696669613942504,0.002311202399141621,0.0056956189837364946,0.9681034482758621,0.9176654421571502,0.3199853854585313,0.7740317028287182
19,5.824350601949142e-05,0.46359577402472496,0.020464194618398324,3.077705979347229,0.26865870133042336,0.0019630773222161224,0.004427015729334016,0.9706896551724138,0.9101296913000188,0.37476437589925155,0.8025758730590963
20,5.438372523852832e-05,0.4441959224641323,0.013655096583534032,2.9945162534713745,0.25909353140741587,0.002759829058049945,0.007144780840462772,0.9685344827586206,0.905585926300398,0.44173213617658064,0.8176360959235577
