epoch,train_loss,train_bce_loss,train_rtfm_loss,train_cls_loss,train_bnd_loss,train_smooth_loss,val_auc,val_ap,val_macro_f1,val_weighted_f1
1,0.8699422590434551,0.1685147297102958,4.649703145027161,0.39507248997688293,0.10188635205850005,0.0835506827570498,0.9564655172413794,0.9174697799449906,0.5828538844667877,0.8452399529049426
2,0.786695871502161,0.13066175486892462,4.581766128540039,0.34278600476682186,0.06065769609995186,0.08267184346914291,0.9478448275862069,0.9110037226241681,0.7136348492420456,0.8872394078190263
3,0.7100234776735306,0.09823316941037774,4.4940338134765625,0.2824981343001127,0.047145723132416606,0.06994134979322553,0.9439655172413793,0.9100780401034376,0.6766949819097059,0.8577817128557266
4,0.683104932308197,0.08444084122311324,4.386414647102356,0.27486169431358576,0.04945717705413699,0.07754624192602932,0.944396551724138,0.9100010236316041,0.6683569182389938,0.8718928509607062
5,0.654257956892252,0.05968746365397237,4.247390270233154,0.2976573100313544,0.045685235876590014,0.0729725353885442,0.930603448275862,0.912083844869737,0.6075057268543859,0.8577088937207045
6,0.6037270501255989,0.05104026081971824,4.065435528755188,0.25175329111516476,0.043334136018529534,0.07266347273252904,0.9405172413793104,0.9063301629315617,0.5616166211707613,0.8447337446051874
7,0.5808508899062872,0.054707295377738774,3.870459794998169,0.24181998241692781,0.037980451714247465,0.06793489563278854,0.9331896551724138,0.9079062096245203,0.6280080913320745,0.8488148113365248
8,0.5729636698961258,0.05236639594659209,3.6917704343795776,0.26636206917464733,0.03668304032180458,0.07234283490106463,0.9314655172413794,0.9056855423467316,0.5980452674897119,0.8456733491901687
9,0.5380293820053339,0.04352616806863807,3.45652437210083,0.2636645999737084,0.033181302482262254,0.0706407802645117,0.9383620689655172,0.9017738898448138,0.6026722925457103,0.8530522974489992
10,0.5061749964952469,0.030768471187911928,3.2987358570098877,0.25788012705743313,0.030904149287380278,0.07321637123823166,0.9293103448275861,0.9009545974290227,0.6177499394819657,0.8622177583231728
